industry,year,t,gross_output_cp,va_cp,energy_cp,material_cp,number_employed,lab_quality,capital_stock_cp,services_cp
9,1984,5,"10,222","3,444",1268,7511,283,105.36,"11,087",5726
10,1984,5,"33,829","15,632",9349,5046,"2,878",105.02,"20,532",7787
11,1984,5,"1,17,762","43,385",22358,54961,"2,309",105.04,"1,06,051",19361
12,1984,5,"38,522","19,171",2009,21125,568,108.87,"24,012",9012
13,1984,5,"12,462","6,012",935,7316,559,103.12,"27,329",4149
14,1984,5,"48,623","16,294",2853,23566,568,105.94,"27,782",10312
15,1984,5,"8,292","5,360",465,3832,"2,239",102.78,"24,507",1866
16,1984,5,"84,061","30,321",19421,37959,953,102.3,"4,54,537",13929
17,1984,5,"2,94,648","1,16,866",5336,78099,"7,944",102.17,"53,547",42559
18,1984,5,"1,69,794","1,20,040",2912,4485,"19,978",102.87,"60,660",40639
19,1984,5,"49,663","10,507",2894,27724,"2,723",101.18,"16,506",6565
20,1984,5,"1,25,834","60,729",32452,13997,"7,293",102.55,"4,80,150",21997
21,1984,5,"15,374","6,158",1900,3243,526,101.96,"38,931",5290
22,1984,5,"57,614","44,493",827,2030,"1,222",103.11,"76,494",7554
23,1984,5,"34,890","22,571",402,1427,698,100.83,"41,775",4798
24,1984,5,"1,33,417","96,074",1133,3869,"8,329",103.28,"6,23,030",26782
25,1984,5,"34,663","28,838",86,4792,"4,719",102.27,"19,097",1657
26,1984,5,"30,839","11,487",532,13739,"1,710",104.06,"8,453",5854
27,1984,5,"2,33,824","1,97,917",446,22778,"8,607",104.8,"15,94,541",4203
1,1985,6,"9,38,181","6,80,206",14529,203642,"2,09,481",101.49,"12,00,590",39803
2,1985,6,"1,41,108","79,655",10776,8367,"2,036",106.08,"80,269",7614
3,1985,6,"1,16,531","31,232",2133,67434,"7,072",103.38,"1,22,261",15126
4,1985,6,"83,527","31,668",8067,32629,"11,910",103.36,"69,377",20357
5,1985,6,"41,755","20,988",559,10970,"2,941",97.18,"11,191",4042
6,1985,6,"22,712","8,589",2239,7896,851,105.18,"1,33,566",3610
7,1985,6,"1,88,422","16,498",3970,285011,65,102.55,"14,316",3032
8,1985,6,"93,789","25,717",11374,23349,"1,193",106.5,"97,326",13866
9,1985,6,"9,299","3,284",1163,6934,305,106.75,"12,600",5259
10,1985,6,"36,695","16,485",9579,5604,"2,914",106.31,"23,995",8104
11,1985,6,"1,20,696","45,652",22609,56654,"2,393",106.34,"1,14,504",20918
12,1985,6,"41,720","20,293",2181,23010,551,111.21,"27,319",10228
13,1985,6,"12,845","5,298",978,8221,598,103.92,"28,379",5198
14,1985,6,"47,986","14,519",2908,25053,613,107.48,"30,439",11575
15,1985,6,"10,856","7,327",509,4438,"2,398",103.49,"26,832",2183
16,1985,6,"92,022","32,727",23441,38738,998,102.89,"4,88,345",16632
17,1985,6,"3,06,422","1,23,482",5503,86695,"8,993",102.72,"54,763",49453
18,1985,6,"1,83,519","1,30,162",3266,5242,"20,841",103.6,"63,739",44208
19,1985,6,"50,306","10,998",3242,28806,"2,817",101.47,"17,561",6646
20,1985,6,"1,33,802","65,621",33779,15261,"7,546",103.2,"4,88,528",23885
21,1985,6,"15,762","6,258",2057,3231,528,102.45,"41,626",5644
22,1985,6,"65,511","50,613",958,1947,"1,287",103.91,"82,667",8344
